uri,nombre,definicion,tipo_habilidad,nivel_reutilizacion
http://data.europa.eu/esco/skill/0e62eba3-d076-47e5-b22d-340a8faccb3b,tecnología asistencial para la educación,"Dispositivos y equipos digitales que ayudan a los estudiantes a superar problemas de aprendizaje, comunicación o movilidad para que puedan acceder a recursos educativos y desarrollar todo su potencial. Incluye software como reconocimiento de voz y reconocimiento óptico de caracteres.
   ",knowledge,occupation-specific
http://data.europa.eu/esco/skill/0e667579-d045-4c6a-b0f3-230a61edd014,modelar la electrónica de potencia,"Modelar y simular sistemas, productos y componentes de electrónica de potencia utilizando software de diseño técnico. Evaluar la viabilidad del producto y examinar los parámetros físicos para garantizar un proceso de fabricación satisfactorio.
	",skill/competence,occupation-specific
http://data.europa.eu/esco/skill/0e78d9c9-7c3c-4c5c-82cb-205c16edbcb8,tecnologías verdes,"La utilización de sistemas TIC de una manera ambientalmente responsable y sostenible, como la implementación de servidores y unidades centrales de procesamiento (CPU) energéticamente eficientes, la reducción de recursos y la eliminación correcta de los desechos electrónicos.",knowledge,occupation-specific
http://data.europa.eu/esco/skill/0e8d16c9-e2db-4862-ac06-1567f01ef806,tecnologías de control de sistemas de gestión de edificios,"Sistemas de control informatizado que supervisan los equipos mecánicos y eléctricos en un edificio, como los sistemas de climatización, seguridad e iluminación.",knowledge,sector-specific
http://data.europa.eu/esco/skill/0ebd8359-48bc-4b28-adb1-450774e5f683,transferir material audiovisual sin cortar al ordenador,"Transferir materiales audiovisuales sin cortar a un ordenador, sincronizarlos y almacenarlos.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/0f00f63f-3ab4-4057-b92f-500584b51757,Informatica PowerCenter,"El programa informático Informatica PowerCenter es una herramienta para la integración de información de múltiples aplicaciones, creadas y mantenidas por organizaciones, en una estructura de datos coherente y transparente, desarrollada por la empresa de software Informatica.",knowledge,sector-specific
http://data.europa.eu/esco/skill/0f365cf9-4f68-4a25-affc-75de20bcdc09,realizar un análisis de los datos estadísticos del buque,"Recabar información del software de gestión de un buque y aplicar referencias cruzadas para analizar los datos desde distintos puntos de vista y para fundamentar la toma de decisiones.
	",skill/competence,sector-specific
http://data.europa.eu/esco/skill/0f5374e3-0b9b-4b16-af7a-49654ce0bb15,colaboración entre personas y robots,"La colaboración entre personas y robots es el estudio de procesos colaborativos en los que personas y robots trabajan conjuntamente para alcanzar objetivos comunes. La colaboración entre personas y robots es un ámbito de investigación multidisciplinario que incluye la robótica clásica, la interacción entre personas y ordenadores, la inteligencia artificial, el diseño, la ciencia cognitiva y la psicología. Está relacionada con la definición de los planes y las normas de comunicación para llevar a cabo una tarea y para lograr un objetivo trabajando conjuntamente con un robot.
   ",knowledge,sector-specific
http://data.europa.eu/esco/skill/0f9958d2-f700-4f62-b90b-a5873cb5ae4c,pensamiento sistémico,"El enfoque integrado para comprender cómo diversos componentes de un sistema se interrelacionan, interactúan e influyen entre sí dentro de un sistema logístico completo.",knowledge,occupation-specific
http://data.europa.eu/esco/skill/0fb753a1-2ef2-4429-84d2-ecb2b24daf7a,Apache Tomcat,"El servidor web de código abierto Apache Tomcat proporciona un entorno de servidor web Java que utiliza un contenedor integrado donde se cargan las solicitudes HTTP, lo que permite que las aplicaciones web Java se ejecuten en sistemas locales y basados en servidores.",knowledge,sector-specific
http://data.europa.eu/esco/skill/0fba68dc-6f5d-4974-b3cf-5d3215f7d363,editar negativos,Utilizar distintos productos y técnicas de software para procesar negativos fotográficos y adaptar las imágenes según las especificaciones deseadas.,skill/competence,sector-specific
http://data.europa.eu/esco/skill/0ffdb6ac-03b5-4f1c-bfcc-3d9cb874fdf9,principios de hacking ético,"Conjunto de acciones que se llevan a cabo para detectar vulnerabilidades en un sistema informatizado a fin de mejorar la seguridad de una organización. Su objetivo es detectar y abordar violaciones de la seguridad de los datos y amenazas en una red.
	",knowledge,sector-specific
http://data.europa.eu/esco/skill/1019423b-3368-4f83-b24f-19e5fa23e816,patrones de diseño de la interfaz de usuario del software,Las soluciones reutilizables y las mejores prácticas formalizadas para resolver tareas comunes de interfaz de usuario en el desarrollo y diseño de software.,knowledge,sector-specific
http://data.europa.eu/esco/skill/1110c92f-3059-445a-9436-0f4200d365f5,Sass,"El lenguaje informático Sass es un lenguaje de hojas de estilo que transmite la presentación de documentos estructurados. Estos documentos deben ajustarse a las fichas de estilo, un conjunto de reglas estilísticas como la fuente, el color y el diseño.",knowledge,sector-specific
