rama_ciiu,empleo,periodo,ano,mes,salario_promedio
94,164658.208837977,2025-10,2025,10,2345358.0
95,209744.153094477,2025-10,2025,10,1114289.0
96,608371.130366335,2025-10,2025,10,1308414.0
97,654233.303657471,2025-10,2025,10,1081062.0
99,11160.449619153,2025-10,2025,10,6963325.0
0,2546.3432199,2025-11,2025,11,2300000.0
1,3424155.315711925,2025-11,2025,11,1171719.0
2,44024.867656716,2025-11,2025,11,1115742.0
3,129858.710923217,2025-11,2025,11,613180.0
5,33631.965305904,2025-11,2025,11,2420212.0
6,24653.19766946,2025-11,2025,11,3617041.0
7,211960.329092508,2025-11,2025,11,1508964.0
8,11270.39962954,2025-11,2025,11,1160755.0
9,31399.031185161002,2025-11,2025,11,3854952.0
10,533997.877719641,2025-11,2025,11,1866906.0
11,60792.456651413,2025-11,2025,11,2231781.0
12,8051.614337766,2025-11,2025,11,578790.0
13,70629.08859826499,2025-11,2025,11,1447141.0
14,379518.822657327,2025-11,2025,11,1588133.0
15,187743.386424051,2025-11,2025,11,905581.0
16,63182.093064135996,2025-11,2025,11,904625.0
17,38809.72192334,2025-11,2025,11,1973563.0
18,62201.879905572,2025-11,2025,11,1772898.0
19,12278.99865981,2025-11,2025,11,2629582.0
20,97712.475708028,2025-11,2025,11,2902921.0
21,75896.919873851,2025-11,2025,11,3151852.0
22,77122.540903669,2025-11,2025,11,2188779.0
23,87464.439384393,2025-11,2025,11,1935973.0
24,13939.92314108,2025-11,2025,11,1794707.0
25,206790.824050593,2025-11,2025,11,1599584.0
26,9712.3034904,2025-11,2025,11,2003593.0
27,52830.01649151,2025-11,2025,11,3486384.0
28,27690.790060260002,2025-11,2025,11,2570793.0
29,18937.808923615,2025-11,2025,11,1832454.0
30,7171.563182449,2025-11,2025,11,1959668.0
31,168772.54243112,2025-11,2025,11,1707850.0
32,83295.09046705,2025-11,2025,11,1409263.0
33,85798.209763724,2025-11,2025,11,2111739.0
35,101058.050235288,2025-11,2025,11,3990952.0
36,80790.657546276,2025-11,2025,11,3150289.0
37,1620.1198731069999,2025-11,2025,11,6673964.0
38,143758.427181417,2025-11,2025,11,927959.0
39,2408.86004684,2025-11,2025,11,2975858.0
41,1128824.431323686,2025-11,2025,11,1397520.0
42,188214.721207642,2025-11,2025,11,2431665.0
43,362765.902387469,2025-11,2025,11,1648562.0
45,595545.345923776,2025-11,2025,11,1940557.0
46,504044.052043822,2025-11,2025,11,2470188.0
47,3040499.05905623,2025-11,2025,11,1540178.0
49,1340616.774624516,2025-11,2025,11,1518166.0
50,15373.886994305,2025-11,2025,11,1304475.0
51,46653.010396827,2025-11,2025,11,4670184.0
