ies,rango_modal,graduados_rango_modal,total_graduados
CORPORACION UNIVERSITARIA TALLER CINCO CENTRO DE DISEÑO,"Entre 1 y 1,5 SMMLV",181,602
FUNDACION UNIVERSITARIA NAVARRA - UNINAVARRA,"Entre 2,5 y 4 SMMLV",191,593
FUNDACION DE EDUCACION SUPERIOR NUEVA AMERICA,"Entre 1 y 1,5 SMMLV",265,589
FUNDACION UNIVERSITARIA INTERNACIONAL DE LA RIOJA - UNIR,"Entre 2,5 y 4 SMMLV",170,588
CORPORACION UNIVERSITARIA DE COLOMBIA IDEAS,"Entre 2,5 y 4 SMMLV",128,564
CORPORACION UNIVERSITARIA U DE COLOMBIA,"Entre 1,5 y 2,5 SMMLV",193,539
CORPORACION TECNOLOGICA DE BOGOTA - CTB,"Entre 1,5 y 2,5 SMMLV",204,524
CORPORACION DE ESTUDIOS TECNOLOGICOS DEL NORTE DEL VALLE,"Entre 1 y 1,5 SMMLV",265,520
INSTITUTO TECNICO AGRICOLA ITA,"Entre 1 y 1,5 SMMLV",244,494
CORPORACION ACADEMIA SUPERIOR DE ARTES,"Entre 1 y 1,5 SMMLV",175,457
CORPORACION UNIVERSITARIA REFORMADA - CUR -,"Entre 1 y 1,5 SMMLV",161,437
FUNDACION DE ESTUDIOS SUPERIORES - MONSEÑOR ABRAHAM ESCUDERO MONTOYA - FUNDES,"Entre 2,5 y 4 SMMLV",114,428
CORPORACION DE EDUCACION DEL NORTE DEL TOLIMA - COREDUCACION,"Entre 1 y 1,5 SMMLV",199,422
FUNDACION DE EDUCACION SUPERIOR ALBERTO MERANI,"Entre 1 y 1,5 SMMLV",165,416
FUNDACION ESCUELA TECNOLOGICA DE NEIVA - JESUS OVIEDO PEREZ -FET,"Entre 1 y 1,5 SMMLV",163,396
"CORPORACION EDUCATIVA INSTITUTO TECNICO SUPERIOR DE ARTES, IDEARTES","Entre 1 y 1,5 SMMLV",122,388
FUNDACION UNIVERSITARIA COMFAMILIAR RISARALDA,"Entre 1 y 1,5 SMMLV",167,377
FUNDACION UNIVERSITARIA BELLAS ARTES,"Entre 2,5 y 4 SMMLV",96,373
ESCUELA DE TECNOLOGIAS DE ANTIOQUIA -ETA-,"Entre 1,5 y 2,5 SMMLV",113,361
TECNOLOGICO DE ARTES DEBORA ARANGO INSTITUCION REDEFINIDA,"Entre 1 y 1,5 SMMLV",169,359
INSTITUCION UNIVERSITARIA COLOMBO AMERICANA - UNICA,"Entre 2,5 y 4 SMMLV",115,345
FUNDACION UNIVERSITARIA CERVANTES SAN AGUSTIN - UNICERVANTES,"Entre 2,5 y 4 SMMLV",93,344
FUNDACION UNIVERSITARIA SAN ALFONSO- FUSA-,"Entre 1,5 y 2,5 SMMLV",103,333
CORPORACION UNIFICADA HISPANOAMERICANA DE EDUCACION SUPERIOR,"Entre 1 y 1,5 SMMLV",174,308
CORPORACION POLITECNICO COLOMBO ANDINO,"Entre 1 y 1,5 SMMLV",99,303
CONSERVATORIO DEL TOLIMA,"Entre 2,5 y 4 SMMLV",84,278
INSTITUTO SUPERIOR DE CIENCIAS SOCIALES Y ECONOMICO FAMILIARES-ICSEF-,"Entre 1 y 1,5 SMMLV",122,269
TECNOLOGICO COREDI,"Entre 1 y 1,5 SMMLV",147,258
INSTITUTO CARO Y CUERVO,Entre 4 y 6 SMMLV,102,258
CORPORACION TECNOLOGICA INDOAMERICA,"Entre 1 y 1,5 SMMLV",130,242
